euroc_v103_752/2500/2 : {'above_tracked': 1636, 'above_total': 1667, 'below_tracked': 451, 'below_total': 482}
euroc_v103_752/2500/3 : {'above_tracked': 1648, 'above_total': 1667, 'below_tracked': 482, 'below_total': 482}
euroc_v103_752/5000/1 : {'above_tracked': 930, 'above_total': 947, 'below_tracked': 1199, 'below_total': 1202}
euroc_v103_752/5000/2 : {'above_tracked': 936, 'above_total': 947, 'below_tracked': 1181, 'below_total': 1202}
euroc_v103_752/5000/3 : {'above_tracked': 873, 'above_total': 947, 'below_tracked': 1168, 'below_total': 1202}
euroc_v103_752/10000/1 : {'above_tracked': 158, 'above_total': 158, 'below_tracked': 1901, 'below_total': 1991}
euroc_v103_752/10000/2 : {'above_tracked': 158, 'above_total': 158, 'below_tracked': 1782, 'below_total': 1991}
euroc_v103_752/10000/3 : {'above_tracked': 158, 'above_total': 158, 'below_tracked': 1681, 'below_total': 1991}
euroc_v201_752/500/1 : {'above_tracked': 2219, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/500/2 : {'above_tracked': 2219, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/500/3 : {'above_tracked': 2219, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/750/1 : {'above_tracked': 2218, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/750/2 : {'above_tracked': 2218, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/750/3 : {'above_tracked': 2218, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/1000/1 : {'above_tracked': 2218, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/1000/2 : {'above_tracked': 2219, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/1000/3 : {'above_tracked': 2218, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/1250/1 : {'above_tracked': 2218, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/1250/2 : {'above_tracked': 2218, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/1250/3 : {'above_tracked': 2218, 'above_total': 2280, 'below_tracked': 0, 'below_total': 0}
euroc_v201_752/2500/1 : {'above_tracked': 2179, 'above_total': 2241, 'below_tracked': 39, 'below_total': 39}
euroc_v201_752/2500/2 : {'above_tracked': 2179, 'above_total': 2241, 'below_tracked': 39, 'below_total': 39}
euroc_v201_752/2500/3 : {'above_tracked': 2179, 'above_total': 2241, 'below_tracked': 39, 'below_total': 39}
euroc_v201_752/5000/1 : {'above_tracked': 1479, 'above_total': 1541, 'below_tracked': 739, 'below_total': 739}
euroc_v201_752/5000/2 : {'above_tracked': 1479, 'above_total': 1541, 'below_tracked': 739, 'below_total': 739}
euroc_v201_752/5000/3 : {'above_tracked': 1479, 'above_total': 1541, 'below_tracked': 739, 'below_total': 739}
euroc_v201_752/10000/1 : {'above_tracked': 505, 'above_total': 567, 'below_tracked': 1622, 'below_total': 1713}
euroc_v201_752/10000/2 : {'above_tracked': 505, 'above_total': 567, 'below_tracked': 1713, 'below_total': 1713}
euroc_v201_752/10000/3 : {'above_tracked': 505, 'above_total': 567, 'below_tracked': 1713, 'below_total': 1713}
